,profile,phone,profile_type,zip_code,latitude,longitude,gmaps,beer,name,style,style_name,style_genre
15,1417,01765 689227,"Brewery, Bar, Eatery",HG4 4EN,54.2245928252404,-1.6581144377859098,https://maps.google.com/maps?oi=map&q=Wellgarth%2C+Masham+North+Yorkshire%2C+GB2%2C+UK%2C+HG4+4EN,3824,Monty Python's Holy Grail Ale,154,English Pale Ale,Pale Ales
16,41242,,Brewery,HG4 4EN,54.2245928252404,-1.6581144377859098,https://maps.google.com/maps?oi=map&q=Wellgarth%2C+Crosshills%2C+Masham%2C+Ripon%2C+GB2%2C+UK%2C+HG4+4EN,336454,My Generation Session Pale Ale,97,American Pale Ale (APA),Pale Ales
17,41242,,Brewery,HG4 4EN,54.2245928252404,-1.6581144377859098,https://maps.google.com/maps?oi=map&q=Wellgarth%2C+Crosshills%2C+Masham%2C+Ripon%2C+GB2%2C+UK%2C+HG4+4EN,336454,My Generation Session Pale Ale,97,American Pale Ale (APA),Pale Ales
18,1533,+44 1392 851 160,Brewery,EX5 5AE,50.764380509731104,-3.56629278207372,https://maps.google.com/maps?oi=map&q=Hill+Farm%2C+Newton+St.+Cyres%2C+Exeter%2C+GB2%2C+UK%2C+EX5+5AE,16858,Thomas Hardy's Ale (2003-2008),79,English Old Ale,Strong Ales
19,2841,+44 01639 843 625,"Brewery, Bar, Eatery",SA9 2LX,51.7640351268972,-3.78883004436864,https://maps.google.com/maps?oi=map&q=47+Wern+Road%2C+Ystalyfera%2C+Swansea%2C+GB7%2C+UK%2C+SA9+2LX,276213,Buddy Marvellous,154,English Pale Ale,Pale Ales
20,2841,+44 01639 843 625,"Brewery, Bar, Eatery",SA9 2LX,51.7640351268972,-3.78883004436864,https://maps.google.com/maps?oi=map&q=47+Wern+Road%2C+Ystalyfera%2C+Swansea%2C+GB7%2C+UK%2C+SA9+2LX,15358,Oh Boy,98,English Bitter,Pale Ales
21,2841,+44 01639 843 625,"Brewery, Bar, Eatery",SA9 2LX,51.7640351268972,-3.78883004436864,https://maps.google.com/maps?oi=map&q=47+Wern+Road%2C+Ystalyfera%2C+Swansea%2C+GB7%2C+UK%2C+SA9+2LX,276213,Buddy Marvellous,154,English Pale Ale,Pale Ales
22,2841,+44 01639 843 625,"Brewery, Bar, Eatery",SA9 2LX,51.7640351268972,-3.78883004436864,https://maps.google.com/maps?oi=map&q=47+Wern+Road%2C+Ystalyfera%2C+Swansea%2C+GB7%2C+UK%2C+SA9+2LX,15358,Oh Boy,98,English Bitter,Pale Ales
23,16863,+44 (0)151 709 3116,"Brewery, Eatery, Beer-to-go",L1 8DQ,53.3986111078088,-2.98673104296642,https://maps.google.com/maps?oi=map&q=The+Blatic+Fleet%2C+33+Wapping+Street%2C+Liverpool%2C+GB2%2C+UK%2C+L1+8DQ,52287,Wapping Stout,13,English Stout,Stouts
24,16863,+44 (0)151 709 3116,"Brewery, Eatery, Beer-to-go",L1 8DQ,53.3986111078088,-2.98673104296642,https://maps.google.com/maps?oi=map&q=The+Blatic+Fleet%2C+33+Wapping+Street%2C+Liverpool%2C+GB2%2C+UK%2C+L1+8DQ,52287,Wapping Stout,13,English Stout,Stouts
25,3091,+44 (0)161 612 4061,Brewery,SK1 1JJ,53.410148470464286,-2.15510290497796,https://maps.google.com/maps?oi=map&q=Unicorn+Brewery%2C+Lower+Hillgate%2C+Stockport%2C+Cheshire%2C+GB2%2C+UK%2C+SK1+1JJ,8038,Old Tom,165,English Strong Ale,Strong Ales
26,3091,+44 (0)161 612 4061,Brewery,SK1 1JJ,53.410148470464286,-2.15510290497796,https://maps.google.com/maps?oi=map&q=Unicorn+Brewery%2C+Lower+Hillgate%2C+Stockport%2C+Cheshire%2C+GB2%2C+UK%2C+SK1+1JJ,8038,Old Tom,165,English Strong Ale,Strong Ales
27,23394,+44 (0)161 480 6571,Brewery,SK1 1JJ,53.410148470464286,-2.15510290497796,https://maps.google.com/maps?oi=map&q=Unicorn+Brewery%2C+Stockport%2C+GB2%2C+UK%2C+SK1+1JJ,96511,Iron Maiden Trooper,66,English Extra Special/ Strong Bitter (ESB),Pale Ales
28,23394,+44 (0)161 480 6571,Brewery,SK1 1JJ,53.410148470464286,-2.15510290497796,https://maps.google.com/maps?oi=map&q=Unicorn+Brewery%2C+Stockport%2C+GB2%2C+UK%2C+SK1+1JJ,96511,Iron Maiden Trooper,66,English Extra Special/ Strong Bitter (ESB),Pale Ales
29,3365,+44 01209 313620,"Brewery, Beer-to-go",TR15 1SS,50.243987,-5.220931,https://maps.google.com/maps?oi=map&q=Candela+House%2C+Cardrew+Way%2C+Cornwall%2C+Redruth%2C+GB2%2C+UK%2C+TR15+1SS,73985,Golden Lance,154,English Pale Ale,Pale Ales
30,3365,+44 01209 313620,"Brewery, Beer-to-go",TR15 1SS,50.243987,-5.220931,https://maps.google.com/maps?oi=map&q=Candela+House%2C+Cardrew+Way%2C+Cornwall%2C+Redruth%2C+GB2%2C+UK%2C+TR15+1SS,73985,Golden Lance,154,English Pale Ale,Pale Ales
31,3365,+44 01209 313620,"Brewery, Beer-to-go",TR15 1SS,50.243987,-5.220931,https://maps.google.com/maps?oi=map&q=Candela+House%2C+Cardrew+Way%2C+Cornwall%2C+Redruth%2C+GB2%2C+UK%2C+TR15+1SS,73985,Golden Lance,154,English Pale Ale,Pale Ales
32,10768,+44 (0)01209 313620,Brewery,TR15 1SS,50.243987,-5.220931,https://maps.google.com/maps?oi=map&q=Candela+House%2C+Cardrew+Industrial+Estate%2C+Redruth%2C+GB2%2C+UK%2C+TR15+1SS,74018,All Saints St. Cuthbert,98,English Bitter,Pale Ales
33,10768,+44 (0)01209 313620,Brewery,TR15 1SS,50.243987,-5.220931,https://maps.google.com/maps?oi=map&q=Candela+House%2C+Cardrew+Industrial+Estate%2C+Redruth%2C+GB2%2C+UK%2C+TR15+1SS,74018,All Saints St. Cuthbert,98,English Bitter,Pale Ales
34,10768,+44 (0)01209 313620,Brewery,TR15 1SS,50.243987,-5.220931,https://maps.google.com/maps?oi=map&q=Candela+House%2C+Cardrew+Industrial+Estate%2C+Redruth%2C+GB2%2C+UK%2C+TR15+1SS,74018,All Saints St. Cuthbert,98,English Bitter,Pale Ales
35,31427,+44 1209 313620,Brewery,TR15 1SS,50.243987,-5.220931,https://maps.google.com/maps?oi=map&q=Candela+House%2C+Cardrew+Industrial+Estate%2C+Redruth%2C+GB2%2C+UK%2C+TR15+1SS,108278,Even Keel,154,English Pale Ale,Pale Ales
36,31427,+44 1209 313620,Brewery,TR15 1SS,50.243987,-5.220931,https://maps.google.com/maps?oi=map&q=Candela+House%2C+Cardrew+Industrial+Estate%2C+Redruth%2C+GB2%2C+UK%2C+TR15+1SS,108278,Even Keel,154,English Pale Ale,Pale Ales
37,31427,+44 1209 313620,Brewery,TR15 1SS,50.243987,-5.220931,https://maps.google.com/maps?oi=map&q=Candela+House%2C+Cardrew+Industrial+Estate%2C+Redruth%2C+GB2%2C+UK%2C+TR15+1SS,108278,Even Keel,154,English Pale Ale,Pale Ales
38,3396,01786 834 555,"Brewery, Bar",FK9 4HP,56.155308179699794,-3.9495450076420897,https://maps.google.com/maps?oi=map&q=The+Brewhouse%2C+Queens+Lane%2C+Bridge+Of+Allan%2C+GB6%2C+UK%2C+FK9+4HP,22635,Bridge Of Allan Glencoe Organic Wild Oat Stout,69,English Oatmeal Stout,Stouts
39,3401,+44 01855 831111,Brewery,PH50 4SF,56.713286,-4.958924,https://maps.google.com/maps?oi=map&q=Lab+Road%2C+Kinlochleven%2C+GB6%2C+UK%2C+PH50+4SF,23215,Three Sisters,68,Scottish Ale,Dark Ales
40,3401,+44 01855 831111,Brewery,PH50 4SF,56.713286,-4.958924,https://maps.google.com/maps?oi=map&q=Lab+Road%2C+Kinlochleven%2C+GB6%2C+UK%2C+PH50+4SF,23215,Three Sisters,68,Scottish Ale,Dark Ales
41,52695,+44 1855 831519,Brewery,PH50 4SF,56.713286,-4.958924,https://maps.google.com/maps?oi=map&q=Atlas+Brewery%2C+Lab+Road%2C+Kinlochleven%2C+GB6%2C+UK%2C+PH50+4SF,343794,IPA,150,English India Pale Ale (IPA),India Pale Ales
42,52695,+44 1855 831519,Brewery,PH50 4SF,56.713286,-4.958924,https://maps.google.com/maps?oi=map&q=Atlas+Brewery%2C+Lab+Road%2C+Kinlochleven%2C+GB6%2C+UK%2C+PH50+4SF,343794,IPA,150,English India Pale Ale (IPA),India Pale Ales
43,3411,+44 01499 600238,"Brewery, Bar, Beer-to-go",PA26 8BJ,56.290319290342104,-4.89806389400363,https://maps.google.com/maps?oi=map&q=Achadunan%2C+Cairndow%2C+GB6%2C+UK%2C+PA26+8BJ,66992,Jarl,99,American Blonde Ale,Pale Ales
44,3415,44 28 4377 8900,Brewery,BT31 9RH,54.266852,-5.927058000000001,https://maps.google.com/maps?oi=map&q=Lakeside+Brae%2C+Clarkhill+Road%2C+Castlewellan%2C+GB5%2C+UK%2C+BT31+9RH,33820,Clotworthy Dobbin,161,Irish Red Ale,Pale Ales
45,3508,+44 (0)1934 863963,Brewery,BS40 5PA,51.35579,-2.76176582125477,https://maps.google.com/maps?oi=map&q=Cox%27s+Green%2C+Wrington%2C+Bristol%2C+GB2%2C+UK%2C+BS40+5PA,13926,Butcombe Bitter,98,English Bitter,Pale Ales
46,3929,+44 (0)114 232 2100,"Brewery, Bar, Eatery",S6 2UB,53.395125530750896,-1.48886131370919,https://maps.google.com/maps?oi=map&q=54-58+Langsett+Road%2C+Sheffield%2C+GB2%2C+UK%2C+S6+2UB,41879,Crown Brewery Stannington Stout,13,English Stout,Stouts
47,3929,+44 (0)114 232 2100,"Brewery, Bar, Eatery",S6 2UB,53.395125530750896,-1.48886131370919,https://maps.google.com/maps?oi=map&q=54-58+Langsett+Road%2C+Sheffield%2C+GB2%2C+UK%2C+S6+2UB,41879,Crown Brewery Stannington Stout,13,English Stout,Stouts
48,30079,0114 232 2100,Brewery,S6 2UB,53.395125530750896,-1.48886131370919,https://maps.google.com/maps?oi=map&q=56+Langsett+Road%2C+Sheffield%2C+GB2%2C+UK%2C+S6+2UB,148216,Gingko,98,English Bitter,Pale Ales
49,30079,0114 232 2100,Brewery,S6 2UB,53.395125530750896,-1.48886131370919,https://maps.google.com/maps?oi=map&q=56+Langsett+Road%2C+Sheffield%2C+GB2%2C+UK%2C+S6+2UB,148216,Gingko,98,English Bitter,Pale Ales
50,4425,+44 1937 832091,Brewery,LS24 9SA,53.882356164207,-1.26413716285873,https://maps.google.com/maps?oi=map&q=The+Brewery%2C+Tadcaster%2C+GB2%2C+UK%2C+LS24+9SA,4019,John Smith's Extra Smooth,154,English Pale Ale,Pale Ales
51,4808,+44 (0)1756 702130,Brewery,BD23 2QR,53.94570762,-2.016906,https://maps.google.com/maps?oi=map&q=Snaygill+Industrial+Estate%2C+Keighley+Road%2C+Skipton%2C+GB2%2C+UK%2C+BD23+2QR,10353,Golden Pippin Ale,76,English Pale Mild Ale,Pale Ales
52,4887,+44 (0)1422 377677,Brewery,HX5 9AE,53.685550546673696,-1.83053113964206,https://maps.google.com/maps?oi=map&q=The+Brewery%2C+Units+3-5%2C+Heathfield+Ind.+Est.%2C+Halifax%2C+GB2%2C+UK%2C+HX5+9AE,12481,1872 Porter,101,English Porter,Porters
53,4888,+44 (0)1539 625326,Brewery,LA10 5TQ,54.2767284426738,-2.3887806207377,https://maps.google.com/maps?oi=map&q=Hollins%2C+Cowgill%2C+Dent%2C+GB2%2C+UK%2C+LA10+5TQ,10439,T'Owd Tup,13,English Stout,Stouts
54,4889,+44 (0)1992 584911,Brewery,SG14 1RD,51.797779668597094,-0.08049274771834199,https://maps.google.com/maps?oi=map&q=26+Old+Cross%2C+Hertford%2C+GB2%2C+UK%2C+SG14+1RD,27727,Country Best Bitter,98,English Bitter,Pale Ales
55,5049,+44 (0)117 952 7580,Brewery,BS30 5LX,51.464269362916696,-2.45870348281951,https://maps.google.com/maps?oi=map&q=Siston+Lane%2C+Webbs+Heath%2C+Bristol%2C+GB2%2C+UK%2C+BS30+5LX,10656,Gem,66,English Extra Special/ Strong Bitter (ESB),Pale Ales
56,5058,+44 (0)1423 865959,Brewery,HG5 8LJ,54.001338,-1.446608,https://maps.google.com/maps?oi=map&q=Unit+3%2C+Grimbald+Park%2C+Wetherby+Road%2C+Knaresborough%2C+GB2%2C+UK%2C+HG5+8LJ,164016,Baby Faced Assassin,116,American IPA,India Pale Ales
57,5059,+44 (0)1706 522 227,Brewery,OL16 5LB,53.6075510018426,-2.1412269439422102,https://maps.google.com/maps?oi=map&q=Unit+9%2C+Canalside+Ind.+Est.+Woodbine+Street+East%2C+Rochdale%2C+Lancashire%2C+GB2%2C+UK%2C+OL16+5LB,77374,Alchemist's Ale,150,English India Pale Ale (IPA),India Pale Ales
58,5059,+44 (0)1706 522 227,Brewery,OL16 5LB,53.6075510018426,-2.1412269439422102,https://maps.google.com/maps?oi=map&q=Unit+9%2C+Canalside+Ind.+Est.+Woodbine+Street+East%2C+Rochdale%2C+Lancashire%2C+GB2%2C+UK%2C+OL16+5LB,10681,Brewers Gold,154,English Pale Ale,Pale Ales
59,5059,+44 (0)1706 522 227,Brewery,OL16 5LB,53.6075510018426,-2.1412269439422102,https://maps.google.com/maps?oi=map&q=Unit+9%2C+Canalside+Ind.+Est.+Woodbine+Street+East%2C+Rochdale%2C+Lancashire%2C+GB2%2C+UK%2C+OL16+5LB,40131,Claymore,98,English Bitter,Pale Ales
60,5059,+44 (0)1706 522 227,Brewery,OL16 5LB,53.6075510018426,-2.1412269439422102,https://maps.google.com/maps?oi=map&q=Unit+9%2C+Canalside+Ind.+Est.+Woodbine+Street+East%2C+Rochdale%2C+Lancashire%2C+GB2%2C+UK%2C+OL16+5LB,77374,Alchemist's Ale,150,English India Pale Ale (IPA),India Pale Ales
61,5059,+44 (0)1706 522 227,Brewery,OL16 5LB,53.6075510018426,-2.1412269439422102,https://maps.google.com/maps?oi=map&q=Unit+9%2C+Canalside+Ind.+Est.+Woodbine+Street+East%2C+Rochdale%2C+Lancashire%2C+GB2%2C+UK%2C+OL16+5LB,10681,Brewers Gold,154,English Pale Ale,Pale Ales
62,5059,+44 (0)1706 522 227,Brewery,OL16 5LB,53.6075510018426,-2.1412269439422102,https://maps.google.com/maps?oi=map&q=Unit+9%2C+Canalside+Ind.+Est.+Woodbine+Street+East%2C+Rochdale%2C+Lancashire%2C+GB2%2C+UK%2C+OL16+5LB,40131,Claymore,98,English Bitter,Pale Ales
63,5059,+44 (0)1706 522 227,Brewery,OL16 5LB,53.6075510018426,-2.1412269439422102,https://maps.google.com/maps?oi=map&q=Unit+9%2C+Canalside+Ind.+Est.+Woodbine+Street+East%2C+Rochdale%2C+Lancashire%2C+GB2%2C+UK%2C+OL16+5LB,77374,Alchemist's Ale,150,English India Pale Ale (IPA),India Pale Ales
64,5059,+44 (0)1706 522 227,Brewery,OL16 5LB,53.6075510018426,-2.1412269439422102,https://maps.google.com/maps?oi=map&q=Unit+9%2C+Canalside+Ind.+Est.+Woodbine+Street+East%2C+Rochdale%2C+Lancashire%2C+GB2%2C+UK%2C+OL16+5LB,10681,Brewers Gold,154,English Pale Ale,Pale Ales
65,5059,+44 (0)1706 522 227,Brewery,OL16 5LB,53.6075510018426,-2.1412269439422102,https://maps.google.com/maps?oi=map&q=Unit+9%2C+Canalside+Ind.+Est.+Woodbine+Street+East%2C+Rochdale%2C+Lancashire%2C+GB2%2C+UK%2C+OL16+5LB,40131,Claymore,98,English Bitter,Pale Ales
66,5062,+44 (0)20 8293 1111,Brewery,SE10 0AR,51.48943526582911,0.007951999999999999,https://maps.google.com/maps?oi=map&q=Lawrence+Trading+Estate%2C+Greenwich%2C+London%2C+GB2%2C+UK%2C+SE10+0AR,20897,Coffee Porter,101,English Porter,Porters
67,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,60340,Fire-Bellied Toad,154,English Pale Ale,Pale Ales
68,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,60501,Natterjack,154,English Pale Ale,Pale Ales
69,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,85444,Shoemaker,98,English Bitter,Pale Ales
70,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,61237,That Old Chestnut,76,English Pale Mild Ale,Pale Ales
71,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,60340,Fire-Bellied Toad,154,English Pale Ale,Pale Ales
72,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,60501,Natterjack,154,English Pale Ale,Pale Ales
73,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,85444,Shoemaker,98,English Bitter,Pale Ales
74,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,61237,That Old Chestnut,76,English Pale Mild Ale,Pale Ales
75,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,60340,Fire-Bellied Toad,154,English Pale Ale,Pale Ales
76,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,60501,Natterjack,154,English Pale Ale,Pale Ales
77,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,85444,Shoemaker,98,English Bitter,Pale Ales
78,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,61237,That Old Chestnut,76,English Pale Mild Ale,Pale Ales
79,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,60340,Fire-Bellied Toad,154,English Pale Ale,Pale Ales
80,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,60501,Natterjack,154,English Pale Ale,Pale Ales
81,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,85444,Shoemaker,98,English Bitter,Pale Ales
82,5128,+44 (0)1604 587772,Brewery,NN5 5HS,52.2362884222167,-0.910065536514149,https://maps.google.com/maps?oi=map&q=The+Maltings%2C+St.+James%27+Road%2C+Northampton%2C+GB2%2C+UK%2C+NN5+5HS,61237,That Old Chestnut,76,English Pale Mild Ale,Pale Ales
83,5129,+44 (0)1793 823026,Brewery,SN2 7RU,51.5925705359529,-1.7627489418671998,https://maps.google.com/maps?oi=map&q=Kingsdown+Brewery%2C+Swindon%2C+GB2%2C+UK%2C+SN2+7RU,14150,Kingsdown Ale,66,English Extra Special/ Strong Bitter (ESB),Pale Ales
84,5130,+44 (0)1132 771314,Brewery,LS11 0DS,53.78268658956701,-1.57155130289746,https://maps.google.com/maps?oi=map&q=1+Brown+Avenue%2C+Leeds%2C+GB2%2C+UK%2C+LS11+0DS,11224,Old Fart,66,English Extra Special/ Strong Bitter (ESB),Pale Ales
85,5164,01787 311055,Brewery,CO10 2YW,52.0442533986424,0.747692,https://maps.google.com/maps?oi=map&q=7+Addison+Road%2C+Chilton+Industrial+Estate%2C+Sudbury%2C+Suffolk%2C+GB2%2C+UK%2C+CO10+2YW,11340,Black Adder,13,English Stout,Stouts
86,5171,+44 (0)191 3771991,Brewery,DH6 5PF,54.7377185622719,-1.53291598072554,https://maps.google.com/maps?oi=map&q=Unit+5A%2C+Bowburn+North+Ind.+Est.+Bowburn%2C+Co+Durham%2C+GB2%2C+UK%2C+DH6+5PF,23128,Temptation,84,Russian Imperial Stout,Stouts
87,5172,+44 (0)1535 605807,Brewery,BD21 5AX,53.854525100000004,-1.915682163,https://maps.google.com/maps?oi=map&q=Ingrow+Bridge%2C+South+Street%2C+Keighley%2C+GB2%2C+UK%2C+BD21+5AX,23862,Over And Stout,13,English Stout,Stouts
88,5204,+44 (0)115 985 1615,Brewery,NG2 1NB,52.945594543218405,-1.14849433205826,https://maps.google.com/maps?oi=map&q=Queensbridge+Road%2C+Nottingham%2C+GB2%2C+UK%2C+NG2+1NB,24330,Harvest Pale,154,English Pale Ale,Pale Ales
89,5204,+44 (0)115 985 1615,Brewery,NG2 1NB,52.945594543218405,-1.14849433205826,https://maps.google.com/maps?oi=map&q=Queensbridge+Road%2C+Nottingham%2C+GB2%2C+UK%2C+NG2+1NB,24330,Harvest Pale,154,English Pale Ale,Pale Ales
90,5253,+44 (0)449 741434,"Brewery, Bar, Eatery",IP7 7ED,52.10823340109679,0.908003482749775,https://maps.google.com/maps?oi=map&q=132+High+Street%2C+Bildeston%2C+GB2%2C+UK%2C+IP7+7ED,219318,Bildeston Porter,101,English Porter,Porters
91,5253,+44 (0)449 741434,"Brewery, Bar, Eatery",IP7 7ED,52.10823340109679,0.908003482749775,https://maps.google.com/maps?oi=map&q=132+High+Street%2C+Bildeston%2C+GB2%2C+UK%2C+IP7+7ED,219317,Bildeston Best,98,English Bitter,Pale Ales
